Timestamp,Model Name,ROC AUC,Precision,Recall,Accuracy,F1-score
2024-07-11 09:34:42.383411,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-11 09:34:42.431475,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-11 12:41:58.289118,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-11 12:41:58.338960,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-11 12:50:19.061586,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-11 12:50:19.142836,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 11:51:51.252808,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 11:51:51.505577,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 11:55:48.958479,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 11:55:49.004764,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 12:01:47.605140,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 12:01:47.652835,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 12:06:51.678325,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 12:06:51.740175,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 12:16:28.711347,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 12:16:28.758730,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 12:26:15.118696,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 12:26:15.165444,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 12:29:35.230329,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 12:29:35.285169,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-12 12:49:56.607907,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-12 12:49:56.658182,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
2024-07-13 17:02:20.534065,Random Forest,0.9086375629495262,0.9237668161434978,0.8306451612903226,0.9611714379730174,0.8747346072186837
2024-07-13 17:02:20.628811,Logistic Regression,0.7274356868316568,0.7423312883435583,0.4879032258064516,0.8887792036854228,0.5888077858880778
